Affymetrix ID,Gene,p.value.ASDvsControls ,FDR.ASDvsControls ,p.value.ASDvsControls.males,FDR.ASDvsControls.males,p.value.ASDvsControls.females,FDR.ASDvsControls.females,Two.way.ANOVA.p.Dx.,Two.way.ANOVA.p.Gender.,Two.way.ANOVA.p.Dx*Gender
8099364,ZNF518B,8.18E-05,1.05E-02,9.71E-05,2.75E-02,1.47E-01,7.23E-01,3.23E-04,7.94E-01,6.15E-01
8119016,MAPK13,8.52E-05,1.06E-02,2.17E-03,3.11E-02,2.42E-02,6.45E-01,2.16E-04,7.68E-01,8.13E-01
7896007,--,8.68E-05,1.06E-02,3.46E-04,2.75E-02,1.57E-01,7.26E-01,4.54E-04,3.45E-01,6.74E-01
8117020,MYLIP,8.69E-05,1.06E-02,1.06E-03,3.00E-02,2.58E-02,6.45E-01,3.51E-04,7.79E-01,9.10E-01
7971373,--,8.70E-05,1.06E-02,2.90E-02,4.31E-02,3.14E-04,5.15E-01,1.05E-04,4.08E-01,1.65E-02
8030946,ZNF808,8.75E-05,1.06E-02,2.14E-03,3.11E-02,2.16E-02,6.45E-01,3.51E-04,8.10E-01,6.80E-01
7981439,BAG5,8.78E-05,1.06E-02,3.64E-03,3.13E-02,1.53E-02,6.41E-01,2.27E-04,7.14E-01,4.64E-01
7979691,LOC100128233,8.79E-05,1.06E-02,9.44E-05,2.75E-02,2.43E-01,7.47E-01,3.13E-04,8.98E-01,3.32E-01
7943314,JRKL,8.83E-05,1.06E-02,5.52E-03,3.15E-02,1.45E-02,6.41E-01,1.88E-04,3.96E-01,4.14E-01
8116649,TUBB2A,8.96E-05,1.06E-02,2.07E-03,3.11E-02,2.74E-02,6.45E-01,2.28E-04,6.96E-01,4.57E-01
8116653,TUBB2A,8.96E-05,1.06E-02,2.07E-03,3.11E-02,2.74E-02,6.45E-01,2.28E-04,6.96E-01,4.57E-01
8093336,ZNF141,9.08E-05,1.06E-02,4.05E-03,3.13E-02,8.54E-03,6.35E-01,2.05E-04,7.91E-01,3.36E-01
8177232,KDM5D,9.21E-05,1.06E-02,8.85E-05,2.75E-02,4.99E-01,8.10E-01,1.64E-14,5.00E-58,5.19E-03
7893619,--,9.23E-05,1.06E-02,6.51E-03,3.19E-02,9.27E-03,6.35E-01,2.74E-04,4.87E-01,1.80E-01
7933228,MARCH8,9.41E-05,1.08E-02,6.33E-02,5.87E-02,1.22E-03,5.98E-01,9.71E-05,5.99E-02,2.44E-02
7960052,SNORA49,9.63E-05,1.09E-02,1.47E-03,3.01E-02,7.80E-03,6.35E-01,1.89E-04,1.13E-01,3.73E-01
8173364,--,9.75E-05,1.09E-02,8.39E-03,3.34E-02,1.04E-02,6.35E-01,1.24E-04,5.08E-01,2.42E-01
8085537,ZFYVE20,9.80E-05,1.09E-02,1.12E-03,3.00E-02,6.26E-02,6.79E-01,2.81E-04,6.21E-01,9.14E-01
8073875,TRMU,9.89E-05,1.10E-02,8.41E-03,3.34E-02,1.25E-02,6.35E-01,9.86E-05,2.80E-01,3.87E-01
8028266,ZNF540,1.01E-04,1.10E-02,2.03E-03,3.11E-02,9.64E-03,6.35E-01,2.46E-04,3.36E-01,5.86E-01
8137252,GIMAP1,1.01E-04,1.10E-02,7.78E-04,3.00E-02,5.93E-02,6.79E-01,3.84E-04,9.01E-01,8.81E-01
7896169,--,1.06E-04,1.13E-02,2.49E-03,3.12E-02,1.48E-02,6.41E-01,4.04E-04,9.88E-01,7.27E-01
8116651,--,1.06E-04,1.13E-02,4.23E-03,3.13E-02,2.01E-02,6.45E-01,2.12E-04,5.65E-01,4.24E-01
7896139,--,1.07E-04,1.13E-02,1.09E-03,3.00E-02,9.62E-02,6.99E-01,3.13E-04,2.52E-01,9.03E-01
8066009,RBM39,1.08E-04,1.13E-02,9.90E-04,3.00E-02,4.95E-02,6.67E-01,4.61E-04,8.81E-01,7.25E-01
8063345,SNORD12C,1.10E-04,1.13E-02,2.94E-03,3.13E-02,5.18E-02,6.71E-01,3.85E-04,1.21E-01,7.92E-01
8088151,ACTR8,1.11E-04,1.13E-02,8.90E-04,3.00E-02,1.18E-01,7.04E-01,3.80E-04,2.20E-01,8.66E-01
8091778,SCARNA7,1.11E-04,1.13E-02,4.95E-03,3.13E-02,1.20E-02,6.35E-01,2.01E-04,6.51E-01,6.85E-01
7961339,LRP6,1.12E-04,1.13E-02,2.00E-02,3.88E-02,2.72E-03,6.06E-01,1.74E-05,5.04E-01,4.03E-01
7894700,--,1.14E-04,1.13E-02,3.26E-03,3.13E-02,8.70E-03,6.35E-01,2.74E-04,4.48E-01,3.06E-01
8119993,HSP90AB1,1.14E-04,1.13E-02,3.45E-04,2.75E-02,1.17E-01,7.03E-01,3.62E-04,9.03E-01,7.94E-01
8038981,ZNF611,1.16E-04,1.13E-02,2.24E-03,3.11E-02,2.77E-02,6.45E-01,4.45E-04,8.31E-01,6.25E-01
7980983,MOAP1,1.16E-04,1.13E-02,1.73E-03,3.06E-02,3.72E-02,6.59E-01,2.80E-04,8.51E-01,7.58E-01
8134730,CNPY4,1.16E-04,1.13E-02,3.35E-02,4.52E-02,7.23E-03,6.35E-01,1.00E-04,1.99E-02,1.18E-01
7896634,--,1.17E-04,1.13E-02,5.87E-05,2.75E-02,5.29E-01,8.17E-01,2.62E-04,7.16E-02,1.47E-01
7926299,HSPA14,1.18E-04,1.13E-02,5.58E-04,3.00E-02,7.78E-02,6.94E-01,3.79E-04,8.10E-01,8.00E-01
8014755,SNORA21,1.18E-04,1.13E-02,2.43E-02,4.07E-02,4.79E-04,5.79E-01,6.30E-05,2.62E-01,4.45E-02
8107208,FER,1.19E-04,1.13E-02,3.59E-04,2.75E-02,1.08E-01,7.01E-01,4.16E-04,8.41E-01,6.79E-01
7918911,--,1.20E-04,1.13E-02,3.09E-03,3.13E-02,5.86E-02,6.79E-01,3.62E-04,9.24E-02,7.58E-01
7948904,SNORD28,1.20E-04,1.13E-02,2.82E-03,3.12E-02,2.82E-02,6.45E-01,2.69E-04,6.47E-01,8.56E-01
8053496,POLR1A,1.21E-04,1.13E-02,1.62E-03,3.02E-02,6.32E-02,6.79E-01,2.37E-04,4.00E-01,8.11E-01
7967685,STX2,1.21E-04,1.13E-02,3.65E-04,2.75E-02,1.36E-01,7.20E-01,3.82E-04,6.58E-01,7.59E-01
7895350,--,1.24E-04,1.13E-02,2.71E-03,3.12E-02,2.58E-02,6.45E-01,5.06E-04,6.89E-01,6.87E-01
8140942,FAM133B,1.26E-04,1.13E-02,1.47E-03,3.01E-02,2.84E-02,6.45E-01,4.05E-04,6.50E-01,7.53E-01
7893442,--,1.26E-04,1.13E-02,1.65E-03,3.03E-02,6.18E-02,6.79E-01,4.05E-04,4.79E-01,9.55E-01
8140859,MTERF,1.27E-04,1.13E-02,5.85E-03,3.15E-02,9.97E-03,6.35E-01,3.12E-04,8.75E-01,4.30E-01
7924760,ITPKB,1.27E-04,1.13E-02,5.22E-04,2.98E-02,1.83E-01,7.31E-01,3.57E-04,4.34E-01,4.55E-01
7903032,MTF2,1.27E-04,1.13E-02,2.70E-03,3.12E-02,3.06E-02,6.45E-01,4.26E-04,6.26E-01,5.12E-01
7894439,--,1.28E-04,1.13E-02,1.65E-04,2.75E-02,2.54E-01,7.53E-01,6.24E-04,3.83E-01,5.55E-01
7895634,--,1.28E-04,1.13E-02,7.98E-03,3.32E-02,8.37E-03,6.35E-01,3.07E-04,8.12E-01,2.86E-01
8025978,ZNF763,1.28E-04,1.13E-02,2.16E-03,3.11E-02,4.95E-02,6.67E-01,1.45E-04,5.72E-01,8.32E-01
8056359,SNORA70F,1.29E-04,1.13E-02,1.24E-03,3.00E-02,5.22E-02,6.72E-01,3.91E-04,9.82E-01,9.30E-01
8028219,ZNF420,1.31E-04,1.14E-02,5.53E-03,3.15E-02,6.02E-03,6.35E-01,2.74E-04,5.40E-01,2.75E-01
8096314,PKD2,1.32E-04,1.15E-02,5.20E-04,2.98E-02,1.85E-01,7.32E-01,2.75E-04,5.18E-01,3.94E-01
