Affymetrix ID,Gene,p.value.ASDvsControls ,FDR.ASDvsControls ,p.value.ASDvsControls.males,FDR.ASDvsControls.males,p.value.ASDvsControls.females,FDR.ASDvsControls.females,Two.way.ANOVA.p.Dx.,Two.way.ANOVA.p.Gender.,Two.way.ANOVA.p.Dx*Gender
7894056,--,9.12E-04,2.26E-02,9.27E-03,3.36E-02,6.64E-02,6.87E-01,3.23E-03,5.73E-01,8.42E-01
8102352,PITX2,9.14E-04,2.26E-02,3.09E-03,3.13E-02,4.95E-02,6.67E-01,4.01E-03,2.64E-01,9.23E-01
8174197,--,9.14E-04,2.26E-02,7.99E-04,3.00E-02,3.75E-01,7.85E-01,1.58E-03,5.04E-01,4.54E-01
7916590,AK2,9.16E-04,2.26E-02,1.45E-02,3.59E-02,1.75E-01,7.28E-01,1.46E-03,2.22E-03,8.56E-01
7932637,ANKRD26,9.17E-04,2.26E-02,5.16E-03,3.13E-02,4.24E-02,6.62E-01,2.07E-03,3.18E-01,7.06E-01
7899534,EPB41,9.18E-04,2.26E-02,1.25E-01,8.36E-02,4.13E-03,6.08E-01,8.61E-04,2.23E-01,5.41E-02
8162562,LINC00476,9.19E-04,2.26E-02,2.22E-03,3.11E-02,1.79E-01,7.29E-01,2.46E-03,9.24E-01,7.79E-01
7936134,OBFC1,9.19E-04,2.26E-02,6.05E-03,3.15E-02,1.83E-01,7.32E-01,1.74E-03,1.84E-01,7.53E-01
7961798,SOX5,9.21E-04,2.26E-02,1.58E-03,3.02E-02,3.65E-01,7.82E-01,7.39E-03,4.86E-01,3.39E-01
7894202,--,9.21E-04,2.26E-02,2.15E-02,3.94E-02,1.24E-02,6.35E-01,3.55E-04,3.27E-01,3.59E-01
8086494,ZNF852,9.23E-04,2.26E-02,1.99E-03,3.11E-02,3.73E-01,7.85E-01,1.84E-03,1.96E-01,4.18E-01
7904448,--,9.23E-04,2.26E-02,1.50E-04,2.75E-02,4.52E-01,8.02E-01,2.18E-03,7.65E-02,1.28E-01
7994675,ASPHD1,9.23E-04,2.26E-02,6.95E-05,2.75E-02,8.94E-01,8.76E-01,3.40E-03,3.66E-01,5.21E-02
8076909,TUBGCP6,9.31E-04,2.28E-02,6.17E-03,3.16E-02,1.41E-01,7.23E-01,9.05E-04,4.49E-01,7.75E-01
7969835,PCCA,9.34E-04,2.28E-02,4.98E-03,3.13E-02,9.58E-02,6.98E-01,2.34E-03,9.57E-01,8.96E-01
8153935,ZNF252,9.35E-04,2.28E-02,1.86E-02,3.80E-02,3.94E-02,6.59E-01,1.71E-03,4.76E-01,5.87E-01
8117622,OR2B6,9.36E-04,2.28E-02,2.28E-03,3.11E-02,1.36E-01,7.20E-01,4.75E-03,7.26E-01,7.81E-01
8180351,CTBP2,9.37E-04,2.28E-02,5.23E-02,5.38E-02,1.01E-02,6.35E-01,7.95E-04,3.47E-01,3.57E-01
7948898,SNORD31,9.41E-04,2.28E-02,2.73E-02,4.22E-02,1.51E-02,6.41E-01,1.16E-03,9.20E-01,2.76E-01
8025766,CARM1,9.41E-04,2.28E-02,2.51E-01,1.30E-01,1.76E-03,5.98E-01,5.29E-04,9.76E-02,1.73E-02
8039054,ZNF347,9.43E-04,2.28E-02,7.68E-03,3.29E-02,5.63E-02,6.78E-01,2.42E-03,9.32E-01,6.94E-01
7894933,--,9.44E-04,2.28E-02,1.61E-02,3.68E-02,1.09E-01,7.01E-01,9.45E-04,6.19E-02,9.62E-01
8161024,RMRP,9.46E-04,2.28E-02,4.28E-03,3.13E-02,5.34E-02,6.73E-01,2.10E-03,3.39E-01,9.11E-01
7986687,WHAMMP3,9.49E-04,2.28E-02,8.77E-03,3.34E-02,7.27E-02,6.93E-01,2.17E-03,6.33E-01,5.69E-01
8171170,--,9.51E-04,2.29E-02,3.13E-03,3.13E-02,2.81E-01,7.60E-01,4.07E-03,2.14E-01,6.12E-01
8017421,CCDC47,9.53E-04,2.29E-02,1.09E-02,3.45E-02,9.38E-02,6.97E-01,2.72E-03,2.13E-01,7.74E-01
7963061,C1QL4,9.62E-04,2.30E-02,1.49E-03,3.01E-02,3.49E-01,7.76E-01,1.02E-03,4.22E-01,3.78E-01
8142977,MIR29B1,9.63E-04,2.30E-02,3.33E-03,3.13E-02,1.32E-01,7.16E-01,9.46E-04,9.03E-01,8.63E-01
7894072,--,9.66E-04,2.30E-02,1.62E-02,3.68E-02,4.42E-02,6.66E-01,1.48E-03,6.56E-01,5.63E-01
8072143,HSCB,9.68E-04,2.31E-02,5.58E-02,5.53E-02,1.17E-02,6.35E-01,1.60E-03,2.78E-01,2.02E-01
8073194,GRAP2,9.76E-04,2.32E-02,5.36E-03,3.14E-02,7.17E-02,6.93E-01,3.03E-03,7.86E-01,9.01E-01
7896006,--,9.77E-04,2.32E-02,3.22E-03,3.13E-02,2.25E-01,7.44E-01,1.67E-03,5.11E-01,5.74E-01
7999903,C16orf88,9.78E-04,2.32E-02,1.52E-02,3.63E-02,3.85E-02,6.59E-01,5.75E-04,9.91E-01,5.24E-01
8032899,TICAM1,9.85E-04,2.32E-02,7.15E-04,3.00E-02,4.13E-01,7.94E-01,3.33E-03,7.09E-01,3.83E-01
8025458,ZNF317,9.87E-04,2.32E-02,2.49E-02,4.10E-02,2.10E-02,6.45E-01,2.99E-03,4.66E-01,4.36E-01
8045247,PLEKHB2,9.88E-04,2.32E-02,2.58E-03,3.12E-02,2.59E-01,7.56E-01,4.00E-03,3.85E-01,6.48E-01
8139244,C7orf44,9.88E-04,2.32E-02,2.40E-02,4.06E-02,3.28E-02,6.45E-01,2.71E-03,3.16E-01,4.19E-01
8005857,TMEM199,9.88E-04,2.32E-02,7.14E-02,6.22E-02,3.87E-03,6.08E-01,2.75E-03,1.43E-01,1.31E-01
8150219,BRF2,9.89E-04,2.32E-02,1.70E-01,1.01E-01,1.45E-03,5.98E-01,8.77E-04,2.35E-01,4.13E-02
8060503,SNORD57,9.90E-04,2.32E-02,9.35E-03,3.36E-02,2.22E-02,6.45E-01,1.18E-03,3.18E-01,7.09E-01
8150439,ANK1,9.94E-04,2.32E-02,2.14E-01,1.17E-01,3.60E-03,6.06E-01,1.20E-03,4.17E-02,1.56E-02
7922391,CENPL,9.98E-04,2.32E-02,1.30E-02,3.53E-02,3.51E-02,6.52E-01,1.40E-03,8.02E-01,5.42E-01
7945283,ACAD8,9.99E-04,2.32E-02,4.21E-03,3.13E-02,3.46E-01,7.75E-01,1.62E-03,4.70E-02,4.77E-01
7894699,--,9.99E-04,2.32E-02,7.46E-03,3.28E-02,8.32E-02,6.94E-01,2.96E-03,7.06E-01,8.92E-01
8073939,FLJ44385,1.00E-03,2.32E-02,2.99E-04,2.75E-02,3.49E-01,7.76E-01,4.36E-03,1.88E-01,2.88E-01
