Affymetrix ID,Gene,p.value,FDR,p.value.AUTvsControl,FDR.AUTvsControl,p.value.PDDNOSvsControl,FDR.PDDNOSvsControl,p.value.ASPvsControl,FDR.ASPvsControl
8040552,NCOA1,1.46E-04,6.95E-03,5.59E-03,1.40E-01,1.56E-03,2.38E-01,2.00E-01,1
7916045,EPS15,1.46E-04,6.95E-03,6.20E-04,6.59E-02,8.21E-03,3.19E-01,4.06E-01,1
7935660,DNMBP,1.48E-04,6.97E-03,3.45E-04,5.60E-02,2.27E-03,2.41E-01,9.51E-01,1
8020129,VAPA,1.49E-04,6.97E-03,3.38E-03,1.15E-01,2.36E-03,2.41E-01,2.59E-01,1
8137404,CHPF2,1.50E-04,6.99E-03,1.23E-03,8.19E-02,2.92E-03,2.52E-01,5.36E-01,1
8064790,RASSF2,1.51E-04,6.99E-03,6.75E-03,1.53E-01,1.79E-03,2.38E-01,1.44E-01,1
7970287,LAMP1,1.52E-04,6.99E-03,1.12E-02,1.94E-01,1.15E-03,2.38E-01,9.95E-02,1
8021275,POLI,1.55E-04,7.10E-03,3.97E-04,5.70E-02,5.01E-03,2.89E-01,7.43E-01,1
8063755,C20orf177,1.58E-04,7.14E-03,1.18E-03,8.18E-02,3.00E-03,2.54E-01,5.93E-01,1
8143341,JHDM1D,1.59E-04,7.14E-03,8.15E-03,1.67E-01,1.70E-03,2.38E-01,1.25E-01,1
7950838,PICALM,1.59E-04,7.14E-03,7.55E-03,1.59E-01,4.31E-03,2.73E-01,4.03E-02,1
7904086,LRIG2,1.61E-04,7.15E-03,5.86E-03,1.44E-01,2.26E-03,2.41E-01,1.57E-01,1
7941769,KDM2A,1.61E-04,7.15E-03,1.18E-04,4.23E-02,1.61E-02,3.87E-01,7.19E-01,1
8071434,CRKL,1.62E-04,7.16E-03,3.54E-04,5.60E-02,4.37E-03,2.73E-01,8.53E-01,1
8041048,FOSL2,1.63E-04,7.16E-03,1.92E-02,2.56E-01,3.66E-03,2.69E-01,4.54E-03,1
8102523,FABP2,1.66E-04,7.25E-03,4.80E-03,1.32E-01,4.67E-02,5.25E-01,9.49E-05,1
7967255,CLIP1,1.68E-04,7.29E-03,1.80E-03,9.20E-02,1.08E-02,3.46E-01,1.22E-01,1
7942839,PCF11,1.71E-04,7.33E-03,7.86E-04,7.06E-02,8.46E-03,3.21E-01,4.00E-01,1
7970569,SACS,1.72E-04,7.33E-03,2.59E-04,5.31E-02,5.40E-03,2.96E-01,8.91E-01,1
7978376,STXBP6,1.72E-04,7.33E-03,7.23E-03,1.56E-01,6.15E-04,2.21E-01,4.12E-01,1
8140398,YWHAG,1.74E-04,7.37E-03,5.83E-04,6.44E-02,1.04E-02,3.43E-01,4.33E-01,1
7909214,RASSF5,1.75E-04,7.38E-03,4.01E-03,1.24E-01,2.58E-03,2.45E-01,2.63E-01,1
7990487,SIN3A,1.80E-04,7.49E-03,8.66E-03,1.72E-01,6.86E-04,2.21E-01,3.52E-01,1
