Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,G0,G1,G2,G3
SESN2,-0.146493673,7.207601235,68.27787838,1.42E-16,0.001762113,0.001640274,4951,3985,3107,2533,3510,3894,2147,2641
MMAB,0.176498926,6.70045339,68.26039377,1.43E-16,0.001865759,0.002404178,2436,1869,2469,2200,2335,2556,1871,2614
SESN1,-0.156354417,7.02987129,68.24447641,1.44E-16,0.001810855,0.002290541,4080,3561,2654,2531,3174,3012,2013,2469
MFGE8,-0.120189091,7.75137865,65.92233542,4.69E-16,0.001549839,0.00180692,5739,5432,5098,4402,4049,5454,3469,4722
METRNL,-0.178829623,6.568350184,65.47821798,5.88E-16,0.001874658,0.002084403,3259,2449,2081,1700,2383,2453,1218,1703
GNA13,-0.101825712,8.200571449,65.19262948,6.79E-16,0.00132911,0.001148725,8952,7233,6135,6025,7193,6970,4482,5837
RNF213,0.118067523,7.777816646,65.17234115,6.86E-16,0.001537665,0.002398012,6295,4901,4205,4145,5541,5482,4025,4548
MXD4,-0.153093927,7.017776436,65.07278351,7.22E-16,0.001813718,0.0021541,4239,3164,2864,2481,2977,3069,1847,2725
C12orf5,-0.163518882,6.807955322,64.38963843,1.02E-15,0.001853306,0.00230887,3653,3249,2262,1927,2823,2710,1609,2037
PRTFDC1,-0.186840503,6.424333028,63.63942511,1.49E-15,0.001878956,0.002070702,2526,1942,2075,1934,2051,1761,1217,1859
HYAL2,-0.141544898,7.230070176,63.58269715,1.54E-15,0.001755109,0.002051362,3933,3515,3724,3314,2946,3434,2260,3573
FBXL19-AS1,0.369218767,4.467595762,62.77986688,2.31E-15,0.003171045,0.00345511,500,378,441,447,552,521,486,540
CDC25B,0.156886199,6.908737869,62.68597535,2.42E-15,0.001836732,0.002069015,3313,1991,2801,2432,3026,2645,2145,2972
HECTD4,0.120114175,7.659079761,62.14324727,3.19E-15,0.001591243,0.002743187,5678,4795,3728,3768,5123,5029,3636,4302
PPM1D,-0.156315424,6.896012813,61.89748234,3.62E-15,0.00183908,0.001675888,3631,2928,2699,2395,2679,2619,1859,2516
HEATR6,-0.195866553,6.252658816,61.78790667,3.83E-15,0.001881014,0.00133945,2181,1779,1800,1744,1594,1659,1189,1632
RIMKLB,0.12266786,7.57987281,61.4955025,4.44E-15,0.001625281,0.001364855,5274,4511,3726,3513,4884,4961,3207,4136
NCBP1,0.109854571,7.894914239,61.36515629,4.74E-15,0.001482267,0.001415617,6794,5247,4958,4359,6593,5660,4089,4875
MLL5,-0.113881543,7.790511181,61.20865971,5.13E-15,0.001531774,0.001903479,6308,6139,4526,4355,5083,5512,3496,4241
VAT1,-0.136405722,7.267342666,61.08612157,5.46E-15,0.0017431,0.001700295,4255,4356,3423,2896,2995,4311,2343,3025
FBN3,0.469313897,3.657984485,60.30310194,8.13E-15,0.005671019,0.012983016,460,248,123,176,438,470,178,210
KPTN,-0.384506767,4.281438131,59.94652966,9.75E-15,0.003627798,0.004011795,614,447,499,461,332,391,307,401
PCNT,0.114042748,7.769977503,59.9379665,9.79E-15,0.001541289,0.00122586,5358,4683,4821,4424,4929,5318,4067,4994
LRP5,-0.139009135,7.172832122,59.90943282,9.93E-15,0.001772594,0.001583094,4867,3757,2989,2575,3578,3647,2217,2453
SH3YL1,0.287400037,5.078339055,59.83919916,1.03E-14,0.002241269,0.00225125,957,778,611,510,1071,925,565,651
PPIP5K1,0.293970984,5.019216771,59.50179715,1.22E-14,0.002297126,0.00396437,866,768,556,515,896,870,628,670
RTKN2,0.184443536,6.37201875,59.35992015,1.31E-14,0.001879718,0.004189714,1920,1985,1595,1614,2013,2008,1628,1847
USP37,0.147125121,7.01091383,59.03213081,1.55E-14,0.001815316,0.002018949,3206,2712,2598,2751,3165,3113,2338,2950
FOXP4,0.123116942,7.523768414,58.71850239,1.82E-14,0.001648468,0.001499405,4261,3967,4181,3729,3661,4805,3493,4345
APPBP2,-0.119794783,7.572964842,58.54167362,1.99E-14,0.001628179,0.001284026,6193,4655,4116,3598,4893,4382,2947,3520
COPS7A,0.195073151,6.160788803,57.99793882,2.62E-14,0.001882505,0.00143104,1912,1510,1472,1303,1833,1903,1223,1604
ARHGAP33,0.155149257,6.811964325,57.27168935,3.80E-14,0.001852737,0.001531147,2791,2513,2370,2122,2449,3035,2049,2592
GADD45A,-0.173808458,6.470592244,57.15606428,4.03E-14,0.001878007,0.002101221,2780,2245,1947,1775,2076,1925,1283,1903
DDX18,0.103992873,7.962732501,57.1244435,4.09E-14,0.001449209,0.001125871,6445,5015,5671,5069,5844,5809,4416,5968
ABHD4,-0.250445027,5.4101425,56.93787682,4.50E-14,0.002021716,0.001588681,1268,1283,895,844,928,1121,549,774
FAM206A,0.271804304,5.162550364,56.52963832,5.54E-14,0.002171368,0.00191381,911,838,669,601,982,1064,564,781
ZBTB46,-0.160053545,6.695093398,56.48088373,5.67E-14,0.001866245,0.002512624,3238,2717,2267,1953,2482,2272,1735,1904
KLF12,0.11590231,7.616761986,56.06676043,7.01E-14,0.001609611,0.002443223,5256,4637,3728,3805,4943,4709,3463,4401
PHF14,0.115058105,7.634379549,55.97423002,7.34E-14,0.001602013,0.001380956,5277,4150,4206,4045,5045,4885,3306,4487
PCDH20,0.35737449,4.390252145,55.76804797,8.15E-14,0.003351038,0.005511735,491,225,549,428,571,389,435,574
INA,0.131033474,7.247158446,55.02075632,1.19E-13,0.001749663,0.00123447,3628,3094,3500,3111,3436,3625,2769,3672
KIAA1524,0.132071036,7.219011513,54.94865678,1.24E-13,0.001758579,0.001599435,3722,3196,3225,2969,3620,3602,2785,3259
ARHGAP19,0.14430172,6.939592974,54.57602809,1.50E-13,0.001830741,0.001329841,3379,2668,2480,2319,3285,3007,2003,2799
FAM114A2,0.20764377,5.880268113,54.31176726,1.71E-13,0.001898904,0.001448254,1700,1267,1152,988,1624,1546,1020,1248
CCDC93,0.125926164,7.317108061,54.20480816,1.81E-13,0.001726328,0.001553623,4676,3789,3053,2729,4251,4271,2727,3118
CEP290,0.138461467,7.028395604,53.89653211,2.11E-13,0.001811207,0.002098266,3878,3150,2517,2135,3850,3662,2140,2198
STAU2,0.131946722,7.177225727,53.62771457,2.42E-13,0.001771294,0.001345639,3954,3039,3053,2782,3794,3518,2545,3104
RPS10,-0.525510173,3.212257562,53.25442099,2.93E-13,0.007398118,0.007376718,294,310,179,216,171,186,114,182
PKD1P1,0.111046609,7.667475102,52.94343669,3.43E-13,0.001587551,0.001888668,5324,4144,4347,4198,4755,4739,3930,4518
CERCAM,-0.229946895,5.562600281,52.90921741,3.49E-13,0.001963123,0.001965941,1385,1265,1135,932,921,1154,734,921
FAM20B,0.121773754,7.378332277,52.81786104,3.66E-13,0.001704592,0.001746873,4785,3825,3172,3081,4565,4274,2793,3321
KIF14,0.127240352,7.261717242,52.66702849,3.95E-13,0.001744943,0.001222205,4077,3142,3390,2966,3781,3527,2789,3567
WRN,0.150848316,6.75791027,52.63193707,4.02E-13,0.001859773,0.001718949,2965,2309,2194,2085,3039,2656,1725,2388
HELLS,0.130156006,7.197416452,52.3813834,4.57E-13,0.001765229,0.002375586,3603,3075,3025,3162,3511,3284,2803,3428
SSBP4,-0.105454815,7.796394754,52.32167891,4.71E-13,0.001529033,0.001884786,5917,4970,5640,4731,4514,5354,3550,4874
GFPT1,0.100889528,7.894772948,52.20191743,5.01E-13,0.001482335,0.001189997,7464,5328,4669,4139,7060,5872,3725,4677
CEP170B,0.170019781,6.408198587,51.88052614,5.90E-13,0.00187922,0.002231304,2095,1844,1732,1686,1941,2278,1617,1834
C4orf21,0.190258336,6.086354889,51.82968934,6.05E-13,0.001884658,0.00283774,1567,1574,1349,1335,1628,1697,1309,1530
FIS1,-0.222302817,5.628843991,51.7715234,6.23E-13,0.001944036,0.003687603,1426,1169,1300,1033,968,1153,702,1091
AP1S1,0.137812342,6.998128183,51.59243014,6.83E-13,0.00181824,0.002311697,3020,2907,2776,2510,2688,3706,2010,3126
HAUS1,0.155731474,6.649361563,51.58504813,6.86E-13,0.001869927,0.002529587,2426,2005,2299,2029,2396,2401,1627,2626
ERBB4,0.557794641,3.069422228,51.47653294,7.25E-13,0.007939684,0.01065278,79,151,184,178,89,176,263,279
KIAA0020,0.146974222,6.800650623,51.254684,8.11E-13,0.001854324,0.0019785,3036,2098,2499,2205,2974,2672,1890,2491
PLA2G6,0.402507212,3.914691949,51.16750291,8.48E-13,0.004747458,0.004199902,372,266,279,275,357,400,294,410
STAG1,0.126037162,7.235570466,51.15431468,8.54E-13,0.001753367,0.001285941,4289,3276,2880,2945,3834,3775,2441,3516
ARAP1,-0.180627803,6.203144677,51.14838973,8.56E-13,0.001881701,0.001630424,2195,1925,1700,1449,1675,1696,1105,1463
KXD1,0.153036335,6.686803195,51.07803366,8.88E-13,0.001866973,0.002897417,2660,1812,2470,2073,2404,2379,1766,2698
CTSL1,-0.246228017,5.293389339,50.87130086,9.86E-13,0.002082835,0.003990771,1156,1112,891,805,941,1017,447,713
MFSD3,-0.408977466,3.873192,50.77208504,1.04E-12,0.004890217,0.003247759,455,301,439,340,278,245,234,300
PHPT1,-0.135791504,7.012828716,50.39174189,1.26E-12,0.001814872,0.00188491,3679,2887,3048,2851,2639,2755,2024,3106
CEP55,0.154210776,6.633612456,50.19929485,1.39E-12,0.001871015,0.001762774,2487,2176,2176,1857,2299,2783,1681,2214
SART1,-0.14801381,6.757311496,50.10682685,1.46E-12,0.001859843,0.001871372,2932,2406,2630,2501,2170,2542,1653,2412
VPS13B,0.135099543,7.002982573,49.92932463,1.59E-12,0.001817138,0.002157511,3483,3047,2524,2307,3442,3112,2208,2777
TGFB1,-0.253375774,5.182916762,49.64121186,1.85E-12,0.002156053,0.003454438,1063,1160,811,628,721,943,509,694
VPS13A,0.152814002,6.630469522,49.35073246,2.14E-12,0.001871222,0.001873281,2940,2001,2036,1790,2901,2163,1815,2045
STC1,-0.284860222,4.819811748,49.24794718,2.26E-12,0.002533185,0.004275962,1025,887,505,491,686,668,364,505
SLC29A1,0.150728558,6.685538995,49.19546409,2.32E-12,0.001867082,0.002212947,2603,1610,2534,2239,2470,2169,1959,2550
CDC37,-0.100745385,7.826805494,49.12702959,2.40E-12,0.00151477,0.001774319,6832,4972,5365,4677,5192,5215,3419,5006
CSAD,0.276492763,4.909945385,48.67387415,3.02E-12,0.002416729,0.002476866,748,717,562,487,757,859,577,627
SPAG7,-0.163842022,6.414088851,48.60553769,3.13E-12,0.001879127,0.002822939,2509,1831,2034,1967,1829,2041,1245,1789
KIAA0430,0.114684582,7.433683861,48.55522412,3.21E-12,0.001683947,0.002848886,4734,4427,3122,3122,4444,4413,2960,3681
FAM122B,0.15239065,6.629237115,48.52842162,3.26E-12,0.001871302,0.001420097,2572,1933,2234,1912,2304,2297,1921,2325
C1orf85,-0.290156116,4.741222261,48.08034186,4.09E-12,0.002649452,0.002544156,890,792,607,460,593,669,359,463
ZDBF2,0.129063201,7.074086225,47.92141539,4.44E-12,0.00179988,0.002259921,3865,3147,2651,2337,3711,3240,2430,2703
HIST1H2BK,-0.372010359,4.024316215,47.74962483,4.84E-12,0.004384826,0.005506089,565,489,274,370,364,342,205,319
RGL2,-0.144193905,6.763209509,47.7023725,4.96E-12,0.001859145,0.001298242,3190,2269,2635,2436,2363,2193,1811,2417
NCBP2,0.109262631,7.543787959,47.53726216,5.40E-12,0.001640286,0.001224144,5213,3921,3874,3682,4893,4483,3051,4221
SLC6A8,-0.132678456,6.996374488,47.51314224,5.46E-12,0.001818636,0.001753626,3280,3428,2979,2594,2566,3027,2078,2747
SARNP,0.136085316,6.909639042,47.46416219,5.60E-12,0.001836563,0.003005979,3063,2559,2670,2318,2744,3373,1856,2874
ERO1L,0.138479938,6.848767171,47.41629293,5.74E-12,0.001847157,0.001582026,3308,2689,2334,1943,3318,2958,1896,2251
ZNF793,-0.274309416,4.875083781,47.33933776,5.97E-12,0.002459748,0.00371048,995,963,556,494,739,728,406,437
ACAP2,0.102837598,7.700826583,47.33534194,5.98E-12,0.001572735,0.001757873,6261,5019,3906,3622,6074,5183,3296,4107
KIF23,0.108676811,7.549454534,47.06982249,6.85E-12,0.001637952,0.001350565,5105,3859,4279,3508,4691,4614,3295,4023
OTUD5,-0.160547164,6.427328367,47.03584343,6.97E-12,0.001878904,0.001385636,2412,2081,2016,1881,1851,1980,1286,1854
RTTN,0.171269231,6.232032932,46.70524932,8.25E-12,0.001881275,0.001917336,1879,1652,1519,1476,1915,1825,1351,1713
C5orf42,0.129924119,7.002695754,46.52869592,9.03E-12,0.001817203,0.00249243,3700,3305,2288,2163,3598,3633,2122,2261
MNF1,-0.207757396,5.667286667,46.50609828,9.13E-12,0.001934507,0.002288013,1507,1144,1233,1154,1089,1104,703,1152
ZNF561,-0.112233336,7.425104144,46.48457644,9.23E-12,0.001687206,0.001641092,5571,4604,3576,2970,4263,4241,2648,3145
CERS5,-0.118842321,7.271914205,46.43841539,9.45E-12,0.001741594,0.001447951,4507,3820,3517,3084,3580,3487,2434,3217
CDIP1,-0.13765403,6.849982319,46.37385372,9.77E-12,0.001846962,0.001565248,3316,2644,2743,2472,2434,2655,1779,2546
DARS2,-0.170167623,6.248305404,46.31015258,1.01E-11,0.001881067,0.001602359,2044,1747,2016,1611,1642,1570,1300,1550
RNF167,0.150055932,6.600370512,46.27076582,1.03E-11,0.001873036,0.001839752,2354,2001,2229,1901,2236,2470,1661,2354
UHMK1,0.103249655,7.67495439,46.22108824,1.06E-11,0.001584249,0.001695119,5329,4597,4361,3939,5128,4742,3662,4549
PRMT5,-0.110843867,7.474210191,46.0903422,1.13E-11,0.001668264,0.001727312,4760,3698,4461,4082,3758,3986,2956,3843
LRRTM2,-0.452766319,3.412318953,46.03116713,1.16E-11,0.006617956,0.010633449,343,407,206,181,232,234,130,182
RABEP1,-0.101509558,7.700401531,45.87402544,1.26E-11,0.001572925,0.001491976,6363,5063,4548,4121,5192,5171,3149,3803
TBC1D5,0.113784423,7.368587365,45.85877424,1.27E-11,0.001708131,0.001418062,4751,3759,3309,3011,4619,4167,2670,3366
GULP1,0.106340092,7.55868807,45.69501965,1.38E-11,0.00163413,0.001425566,5834,3636,3978,3569,5397,4371,3121,3927
DAGLA,-0.190091329,5.898976215,45.66642402,1.40E-11,0.001896942,0.002261541,1639,1782,1328,1120,1199,1551,999,1031
ARHGAP11A,0.103080862,7.655661149,45.57402881,1.47E-11,0.001592742,0.001245538,5437,4302,4495,3819,5157,4825,3523,4359
PNMA1,-0.108151589,7.517453729,45.38754575,1.62E-11,0.001651027,0.001504398,4792,4402,4290,4006,3583,4591,2848,4094
PCDH17,0.16641287,6.253429986,45.33143992,1.66E-11,0.001881005,0.001792955,2336,1663,1390,1342,2178,1949,1292,1550
NLN,0.124194869,7.100204055,45.31719157,1.68E-11,0.001793029,0.001529833,3765,3254,2560,2627,3489,3883,2168,2846
CENPK,0.138739903,6.781761748,45.18419049,1.79E-11,0.00185684,0.001582919,2945,2382,2344,2069,2936,2749,1800,2426
PPP2R2A,0.105171297,7.572799808,45.13973477,1.83E-11,0.001628248,0.00131457,5484,4557,3684,3390,5023,5050,3124,3852
NCR3LG1,0.171139166,6.188247783,45.10849091,1.86E-11,0.001881956,0.002106693,1810,1377,1599,1540,1855,1712,1334,1668
GAS5,-0.140313458,6.73138381,44.91920497,2.05E-11,0.001862719,0.001374035,3354,2733,2226,2100,2657,2613,1429,2075
NHLRC3,0.208405081,5.611973341,44.9182344,2.05E-11,0.001948567,0.002286908,1267,994,1046,896,1287,1215,973,981
ITPKB,-0.133986521,6.879285885,44.5523701,2.48E-11,0.001842055,0.001614794,3312,2715,2964,2388,2568,2578,2177,2191
