Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
SMARCAD1,-0.12347857,8.13567038,72.3879716,1.77E-17,0.002083042,0.003268516,8366,6801,6188,5617,7801,5386,5616
ZNF793,-0.37491754,4.888054516,72.19839793,1.95E-17,0.003759571,0.004180057,995,963,556,494,805,663,397
ZFP90,-0.223412576,6.382088185,72.06163244,2.09E-17,0.003113111,0.002602374,2602,2482,1608,1453,2171,2090,1267
CEP55,0.207543819,6.639173622,72.03573532,2.11E-17,0.003056156,0.002523813,2487,2176,2176,1857,2802,2449,2181
CCNT2,-0.142026876,7.706636359,71.97795818,2.18E-17,0.002441647,0.002993475,6140,5479,4264,4095,5661,4439,3948
KIF1C,0.117327838,8.251722233,71.9560145,2.20E-17,0.001982534,0.002964662,8709,6675,6186,5649,8432,8465,5617
FNDC3A,-0.121255156,8.171841223,71.8824053,2.28E-17,0.002051785,0.001865893,8531,6925,6163,5924,7777,6115,5491
CAMSAP2,-0.131503998,7.934518253,71.53709015,2.72E-17,0.002254718,0.002244441,7111,6147,5286,4892,6457,5257,4632
TMEM132C,-0.156211154,7.461717937,71.53222392,2.73E-17,0.002627902,0.002589472,5243,3972,4134,3764,4621,3304,3554
SGTA,0.150427061,7.572653084,71.10505137,3.39E-17,0.002545823,0.002509983,4860,3770,4531,3867,4958,4623,4111
SLC39A6,-0.115374346,8.304568185,70.46601472,4.68E-17,0.001936629,0.001755143,9107,7682,7220,6307,8146,6861,6029
SAPCD2,0.283420082,5.752228383,70.42334106,4.79E-17,0.003220598,0.005800991,1329,884,1341,1116,1408,1381,1210
SH3GL1,0.134546717,7.840438615,70.03936843,5.81E-17,0.002333129,0.002342809,6292,4729,4999,4457,6398,5727,4635
ETV4,0.106925974,8.513661188,69.77941266,6.63E-17,0.001755417,0.00235153,10365,6766,8449,7531,10071,8381,7725
MYO1C,0.190314566,6.842112943,69.68201219,6.97E-17,0.002986706,0.003752815,3247,2115,2601,2189,3226,2863,2404
FAM178A,-0.121751533,8.101648321,69.55541848,7.43E-17,0.002112361,0.002070851,8089,7390,5750,5037,7456,6405,4745
PKD1P1,0.142427968,7.666924663,69.51054478,7.60E-17,0.002473041,0.003024815,5324,4144,4347,4198,5508,5213,4168
EPN1,0.11998356,8.149346829,69.20129809,8.89E-17,0.002071233,0.003522483,8171,5674,6167,5484,7726,7448,5544
HIPK3,-0.210574578,6.519651789,69.18985522,8.94E-17,0.003086003,0.002626467,2927,2328,1951,1784,2413,1972,1612
PRKD3,-0.121370079,8.095530358,69.04319789,9.63E-17,0.002117624,0.002474155,8204,6962,5543,5332,7587,5820,5174
SAT1,-0.401936672,4.633126306,69.02573159,9.72E-17,0.004127969,0.00500727,780,832,452,445,596,552,390
ZNF117,-0.151315711,7.451091249,68.79654794,1.09E-16,0.00263554,0.003123794,5508,4476,3566,3298,4949,3612,3224
HDAC6,0.162142219,7.278456443,68.76511979,1.11E-16,0.002753436,0.002672346,3937,3443,3314,2975,4021,4256,3172
