,up,down
496,PBXIP1,
497,PCDH15,
498,PCDHGC3,
499,PCOLCE,
500,PDGFC,
501,PDK4,
502,PDLIM1,
503,PDLIM3,
504,PDLIM4,
505,PDYN,
506,PEAR1,
507,PERP,
508,PHF10,
509,PHKA1,
510,PHLDB2,
511,PI15,
512,PIGA,
513,PIGR,
514,PIM1,
515,PIPOX,
516,PIRT,
517,PITPNC1,
518,PLA2G5,
519,PLA2R1,
520,PLBD1,
521,PLEKHA4,
522,PLEKHG1,
523,PLEKHO2,
524,PLIN1,
525,PLIN2,
526,PLOD2,
527,PLP2,
528,PLSCR1,
529,PLSCR4,
530,PLTP,
531,PPAP2B,
532,PPARA,
533,PPP1R3C,
534,PPP1R3G,
535,PRDM1,
536,PRDM16,
537,PRELP,
538,PREX2,
539,PRIC285,
540,PRMT10,
541,PROS1,
542,PRRX1,
543,PRSS23,
544,PRSS35,
545,PTAR1,
546,PTGS2,
547,PTPRZ1,
548,PYGL,
549,RAB11FIP1,
550,RAB13,
551,RAB27A,
552,RANBP17,
553,RANBP3L,
554,RBM15,
555,RBM28,
556,RBMS3,
557,RDH10,
558,RELL1,
559,RERG,
560,RFX2,
561,RFX4,
562,RGR,
563,RGS1,
564,RHOBTB3,
565,RHOJ,
566,RHPN2,
567,RIN1,
568,RIT1,
569,RNASE4,
570,RNF182,
571,RNF217,
572,RNF43,
573,ROR1,
574,RPL19P12,
575,RPLP0P2,
576,RYR3,
577,S100A10,
578,S100A4,
579,S100A6,
580,S1PR1,
581,SAMD9L,
582,SARDH,
583,SBNO2,
584,SCARA3,
585,SDC2,
586,SDC4,
587,SDS,
588,SEMA3C,
589,SEMA3D,
590,SEMA3F,
591,SEMA4B,
592,SERHL2,
593,SERPINB1,
594,SERPINH1,
595,SERTAD1,
596,SFRP2,
597,SIRT4,
598,SIX5,
599,SKIL,
600,SLC11A1,
601,SLC12A8,
602,SLC13A5,
603,SLC14A1,
604,SLC16A9,
605,SLC1A2,
606,SLC1A3,
607,SLC26A2,
608,SLC2A10,
609,SLC30A7,
610,SLC35F2,
611,SLC35F5,
612,SLC39A12,
613,SLC43A3,
614,SLC44A3,
615,SLC47A1,
616,SLC4A4,
617,SLC6A11,
618,SLC6A20,
619,SLC7A10,
620,SLC7A11,
621,SLC7A2,
622,SLC9A7P1,
623,SLCO1C1,
624,SLCO4A1,
625,SLFN11,
626,SLFN13,
627,SMO,
628,SMTN,
629,SNX33,
630,SOAT1,
631,SORBS1,
632,SOX9,
633,SPAG5,
634,SPDYA,
635,SPON1,
636,SPPL2A,
637,SPR,
638,SPRY1,
639,SRGAP1,
640,SRGN,
641,SSPN,
642,STC2,
643,STK17B,
644,STK33,
645,STOM,
646,STON2,
647,STXBP4,
648,SYCP2,
649,SYDE1,
650,SYT10,
651,SYTL4,
652,TAP1,
653,TCAM1P,
654,TCF7L1,
655,TCF7L2,
656,TDRD6,
657,TDRD9,
658,TDRG1,
659,TEP1,
660,TET1,
661,TGDS,
662,TGFB2,
663,TGFBR3,
664,TGIF1,
665,THAP2,
666,THBD,
667,THBS1,
668,THSD4,
669,TIMP1,
670,TIMP3,
671,TIPARP,
672,TLCD1,
673,TLR2,
674,TLR4,
675,TM4SF1,
676,TMBIM1,
677,TMEM100,
678,TMEM176A,
679,TMEM176B,
680,TMEM39A,
681,TMEM45A,
682,TMEM56,
683,TMOD3,
684,TNC,
685,TNFAIP3,
686,TNFRSF10B,
687,TNFRSF10D,
688,TNFRSF1A,
689,TNFSF13,
690,TNFSF13B,
691,TP53BP2,
692,TRAF3IP2,
693,TRERF1,
694,TRIL,
695,TRIM21,
696,TRIM22,
697,TRIM25,
698,TRIM4,
699,TRIM69,
700,TRIM7,
701,TRIP10,
702,TRIP4,
703,TRPM3,
704,TRPS1,
705,TSG1,
706,TSPAN6,
707,TTC18,
708,TTN,
709,TTPA,
710,TUBA1C,
711,TUBB2B,
712,TUBB6,
713,TXNIP,
714,TXNRD3,
715,USP18,
716,USP3,
717,USP53,
718,UTP15,
719,VASN,
720,VAV3,
721,VEGFA,
722,VIM,
723,VN1R2,
724,WEE1,
725,WIF1,
726,WNT4,
727,WWTR1,
728,XRN1,
729,YAP1,
730,ZAK,
731,ZBED6,
732,ZC3H12C,
733,ZCCHC6,
734,ZFP36,
735,ZFP36L1,
736,ZFP36L2,
737,ZIC1,
738,ZIC2,
739,ZIC4,
740,ZIC5,
741,ZNF117,
742,ZNF165,
743,ZNF200,
744,ZNF304,
745,ZNF383,
746,ZNF396,
747,ZNF419,
748,ZNF432,
749,ZNF483,
750,ZNF516,
751,ZNF534,
752,ZNF551,
753,ZNF620,
754,ZNF665,
755,ZNF677,
756,ZNF702P,
757,ZNF788,
758,ZNF844,
759,ZNF880,
760,ZNF92,
761,ZNRF3,
