Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
SMG6,82,0.73,10,223,0.89,22,NA,NA,0,NA,NA,0
SMG7,78,0.86,8,74,0.78,10,NA,NA,0,14,1,2
SMG8,396,0.79,32,145,0.85,15,72,1.07,7,163,1,13
SMG9,33,0.45,4,34,0.79,4,NA,NA,0,25,0.68,4
SMNDC1,135,0.85,15,21,0.81,2,19,1.21,1,47,1.13,3
SMO,19,0.84,2,71,0.77,9,NA,NA,0,11,0.82,1
SMOC1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SMOX,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SMPD2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SMPD3,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
SMPD4,11,0.27,2,37,0.73,6,NA,NA,0,37,0.95,4
SMS,NA,NA,0,17,0.76,2,NA,NA,0,NA,NA,0
SMTN,NA,NA,0,35,0.57,4,NA,NA,0,NA,NA,0
SMU1,44,0.95,6,14,0.79,2,NA,NA,0,NA,NA,0
SMUG1,NA,NA,0,17,0.35,2,NA,NA,0,NA,NA,0
SMURF1,55,0.85,6,68,0.76,8,NA,NA,0,7,0.71,1
SMURF2,229,0.77,20,90,0.74,9,8,1,2,26,1.04,4
SMYD2,8,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
SMYD3,NA,NA,0,5,1.2,1,NA,NA,0,NA,NA,0
SMYD4,37,0.65,6,57,0.68,6,NA,NA,0,NA,NA,0
SMYD5,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
SNAP23,NA,NA,0,8,0.5,1,NA,NA,0,NA,NA,0
SNAP29,53,0.81,6,7,0.71,1,NA,NA,0,5,1,1
SNAP47,117,0.82,12,177,0.84,14,NA,NA,0,49,0.94,4
SNAPC3,8,0.63,1,NA,NA,0,NA,NA,0,6,0.67,1
SNAPC4,NA,NA,0,49,0.65,6,NA,NA,0,14,1,1
SNAPC5,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SNAPIN,NA,NA,0,7,0.29,1,NA,NA,0,NA,NA,0
SNCA,NA,NA,0,12,0.92,2,NA,NA,0,NA,NA,0
SNCAIP,NA,NA,0,NA,NA,0,NA,NA,0,5,0.6,1
SND1,46,0.63,6,141,0.75,15,NA,NA,0,37,1,3
SNF8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNIP1,219,0.82,20,39,0.64,4,5,1,1,33,1.09,3
SNPH,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNRK,275,0.79,26,38,0.63,4,NA,NA,0,6,1.17,1
SNRNP200,1047,0.76,79,1099,0.83,58,39,0.82,4,181,0.97,18
SNRNP25,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNRNP27,6,0.17,1,NA,NA,0,NA,NA,0,6,0.83,1
SNRNP40,6,0.33,1,11,0.73,1,NA,NA,0,NA,NA,0
SNRNP48,74,0.89,8,45,0.8,5,NA,NA,0,17,0.65,2
SNRNP70,48,0.63,5,106,0.74,13,NA,NA,0,11,1.27,1
SNRPA,8,0.88,1,26,0.85,3,5,1,2,17,0.82,3
SNRPA1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SNRPB,49,0.47,6,92,0.88,6,NA,NA,0,NA,NA,0
SNRPB2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNRPC,NA,NA,0,NA,NA,0,NA,NA,0,5,0.4,1
SNRPD1,193,0.82,14,28,0.89,1,19,1.16,4,35,1.14,4
SNRPD2,NA,NA,0,16,0.38,2,NA,NA,0,NA,NA,0
SNRPD3,56,0.82,6,24,0.92,4,NA,NA,0,18,1.11,3
SNRPF,NA,NA,0,37,0.76,3,NA,NA,0,NA,NA,0
SNTA1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNTB1,16,1.38,3,169,1.97,2,NA,NA,0,NA,NA,0
SNTB2,721,0.78,58,160,0.87,12,46,1.04,9,44,1.09,6
SNTG1,NA,NA,0,28,1,1,NA,NA,0,NA,NA,0
SNTG2,NA,NA,0,5,2,1,NA,NA,0,NA,NA,0
SNUPN,44,0.82,5,10,1,2,NA,NA,0,NA,NA,0
SNW1,173,0.74,16,42,0.74,5,NA,NA,0,32,1.03,3
SNX1,18,0.94,2,62,0.77,7,NA,NA,0,NA,NA,0
SNX10,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNX11,32,0.88,5,22,0.82,3,NA,NA,0,6,1,1
SNX12,17,0.71,3,27,0.81,3,NA,NA,0,5,0.6,1
SNX13,91,0.82,9,21,0.86,3,5,1.2,1,11,0.91,2
SNX14,88,0.77,8,50,0.7,5,NA,NA,0,9,1.11,1
SNX15,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNX17,15,0.53,2,18,0.44,2,NA,NA,0,7,0.43,1
SNX18,183,0.84,15,53,0.7,6,17,0.82,2,68,1.01,6
SNX19,269,0.71,31,257,0.75,22,11,1.09,2,40,1.1,3
SNX2,24,0.46,3,14,0.86,2,5,0.6,1,13,1.23,2
SNX25,44,0.57,6,86,0.66,12,NA,NA,0,6,1.17,1
SNX27,28,0.75,4,38,0.63,5,NA,NA,0,19,0.95,3
SNX29,NA,NA,0,473,0.74,63,NA,NA,0,NA,NA,0
SNX3,NA,NA,0,14,0.36,1,NA,NA,0,NA,NA,0
SNX30,608,0.74,52,459,0.72,39,21,1.1,4,80,1,7
SNX31,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SNX33,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNX4,26,0.96,3,18,1.11,2,NA,NA,0,19,1.11,3
SNX5,133,0.78,13,82,0.93,13,7,1,2,24,0.88,2
SNX6,16,0.81,3,22,0.55,4,NA,NA,0,5,1,1
SNX7,15,0.93,2,5,1,1,NA,NA,0,11,1,2
SNX8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SNX9,80,0.79,10,56,0.77,6,NA,NA,0,16,1,3
SOAT1,18,0.72,3,19,0.84,3,NA,NA,0,NA,NA,0
SOBP,59,0.71,9,55,0.8,9,NA,NA,0,NA,NA,0
SOCS2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SOCS4,1785,0.9,59,177,0.89,13,178,1.1,21,483,1.13,31
SOCS5,29,0.93,3,5,0.8,1,5,1,1,NA,NA,0
SOCS6,216,0.75,23,37,0.68,6,13,0.77,1,37,0.92,5
SOCS7,103,0.71,15,123,0.81,12,NA,NA,0,NA,NA,0
SOD1,30,0.67,4,43,0.81,5,NA,NA,0,15,0.93,1
SOD2,623,0.84,35,48,0.79,5,18,0.89,3,25,1.12,2
SOHLH2,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SOLH,39,0.77,5,375,0.79,41,NA,NA,0,139,1.04,10
SON,15195,0.92,84,11789,0.87,92,833,0.93,49,5179,0.98,106
SORBS1,NA,NA,0,69,0.88,6,NA,NA,0,NA,NA,0
SORBS2,NA,NA,0,NA,NA,0,8,0.13,1,NA,NA,0
SORBS3,NA,NA,0,23,0.78,4,NA,NA,0,NA,NA,0
SORCS1,NA,NA,0,10,0.7,1,NA,NA,0,NA,NA,0
SORD,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SORL1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SORT1,85,0.8,9,43,0.77,6,NA,NA,0,26,0.85,4
SOS1,189,0.71,23,32,1,4,NA,NA,0,5,0.2,1
SOS2,141,0.85,15,5,1.2,1,8,1,2,31,1.06,2
SOX11,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SOX12,5,0.8,1,36,0.44,4,NA,NA,0,NA,NA,0
SOX13,NA,NA,0,10,0.6,2,NA,NA,0,NA,NA,0
SOX21,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SOX4,149,0.76,17,233,0.72,18,NA,NA,0,NA,NA,0
SOX7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SOX9,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SP1,745,0.84,40,428,0.77,27,49,0.98,5,221,0.98,17
SP110,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SP2,NA,NA,0,16,1,1,NA,NA,0,21,1.1,2
SP3,473,0.79,32,154,0.81,10,41,1.1,6,150,1.02,12
SP4,13,0.77,2,11,0.36,2,6,1.33,1,NA,NA,0
SP8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPAG5,96,0.73,8,42,0.6,4,NA,NA,0,67,1.03,6
SPAG7,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SPAG9,904,0.76,58,303,0.83,29,18,0.83,2,119,0.97,13
SPAST,309,0.8,32,36,0.86,5,6,1.17,1,41,1.15,6
SPATA13,251,0.85,31,240,0.81,24,11,0.82,2,42,1,4
SPATA2,33,1.03,3,33,0.88,3,NA,NA,0,11,0.91,1
SPATA20,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPATA24,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPATA2L,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
SPATA5,79,0.71,8,26,1,4,NA,NA,0,13,1.08,2
SPATA5L1,208,0.8,18,51,0.53,7,7,1.14,2,36,0.81,4
SPATA6,97,1.01,1,1399,1.07,2,45,1.04,1,5,1.2,1
SPATS2,34,0.79,3,48,0.83,4,NA,NA,0,7,1.14,1
SPC24,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPCS3,197,0.76,20,76,0.67,7,41,1.15,6,48,0.98,5
SPECC1,18,0.72,2,68,0.75,9,NA,NA,0,8,1.25,1
SPECC1L,1307,0.83,75,851,0.84,52,NA,NA,0,136,0.99,11
SPEF2,5,0.6,1,5,0.6,1,NA,NA,0,NA,NA,0
SPEG,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPEN,15271,0.91,132,9354,0.88,168,274,0.94,26,1290,0.95,78
SPG11,42,0.79,7,9,0.89,1,5,0.2,1,11,1.09,2
SPG20,583,0.78,38,181,0.73,16,18,1.11,2,293,1.01,19
SPG21,10,0.6,1,18,1,2,NA,NA,0,NA,NA,0
SPG7,9,0.89,1,25,0.92,4,NA,NA,0,7,1.14,1
SPHAR,39,0.74,5,7,0.57,1,NA,NA,0,NA,NA,0
SPHK1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPHK2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPICE1,30,0.77,5,5,0.2,1,NA,NA,0,16,1.19,2
SPIN1,2213,0.91,44,249,0.78,16,30,0.83,3,135,0.87,11
SPIN3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPIN4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPINT1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPINT2,6,0.5,1,29,0.66,3,NA,NA,0,NA,NA,0
SPIRE1,409,0.82,35,122,0.81,12,NA,NA,0,31,1,3
SPIRE2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPNS1,17,2,1,11,0.82,2,NA,NA,0,NA,NA,0
SPNS2,NA,NA,0,31,2,1,NA,NA,0,NA,NA,0
SPNS3,NA,NA,0,NA,NA,0,59,1,1,NA,NA,0
SPOCK1,NA,NA,0,NA,NA,0,NA,NA,0,8,0.25,1
SPOCK3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPOP,49,0.73,6,22,0.73,4,NA,NA,0,13,1,1
SPOPL,477,0.83,36,60,0.65,7,37,0.89,6,101,0.95,10
SPR,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SPRED1,293,0.77,34,10,1,2,13,1.15,2,13,1.23,2
SPRED2,21,0.81,3,67,0.7,10,NA,NA,0,5,1,1
SPRY1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPRY2,58,0.67,6,47,0.85,4,NA,NA,0,20,0.9,3
SPRY4,33,0.64,5,13,0.62,2,NA,NA,0,NA,NA,0
SPRYD3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPRYD4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPRYD7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPSB1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SPSB3,NA,NA,0,13,0.92,2,NA,NA,0,NA,NA,0
SPTAN1,387,0.75,36,562,0.85,38,5,1.4,2,109,0.99,8
SPTB,13,0.92,2,121,0.77,16,NA,NA,0,NA,NA,0
SPTBN1,1714,0.82,95,1802,0.84,86,37,0.84,6,335,0.91,29
SPTBN2,317,0.72,29,712,0.77,56,NA,NA,0,34,1.21,4
SPTBN4,NA,NA,0,5,1,1,NA,NA,0,7,1,1
SPTLC1,NA,NA,0,6,0.33,1,NA,NA,0,NA,NA,0
SPTLC2,1444,0.84,75,330,0.83,29,31,0.97,6,55,0.91,8
SPTSSA,62,0.65,10,NA,NA,0,NA,NA,0,23,1,2
SPTY2D1,1141,0.86,56,148,0.69,15,88,0.99,7,293,1.05,23
SQLE,50,0.74,5,40,0.8,6,NA,NA,0,NA,NA,0
SQSTM1,32,0.81,4,89,0.82,7,NA,NA,0,84,0.96,6
SRA1,9,0.33,1,10,0.3,2,NA,NA,0,NA,NA,0
SRBD1,14,0.29,2,NA,NA,0,NA,NA,0,6,1.33,1
SRC,13,0.85,2,36,0.72,6,NA,NA,0,NA,NA,0
SRCAP,968,0.83,67,2441,0.84,114,24,1,6,582,1.01,40
SRCIN1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SRD5A3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SREBF1,47,0.72,6,110,0.77,13,NA,NA,0,15,0.8,2
SREBF2,225,0.8,17,368,0.79,31,NA,NA,0,72,0.83,9
SREK1,1499,0.85,68,106,0.82,13,68,0.9,9,360,0.94,25
SREK1IP1,552,0.83,32,62,0.85,5,20,1.15,1,39,1.03,5
SRF,31,0.71,4,41,0.93,5,NA,NA,0,5,1.2,1
SRFBP1,65,0.8,9,10,0.8,2,16,1.25,3,27,0.96,4
SRGAP1,13,0.38,2,20,0.75,4,NA,NA,0,NA,NA,0
SRGAP2,90,0.69,11,150,0.82,16,NA,NA,0,9,0.67,1
SRGAP3,NA,NA,0,13,0.85,2,NA,NA,0,NA,NA,0
SRI,14,0.57,2,11,0.55,2,NA,NA,0,7,1.14,1
SRM,15,0.53,2,74,0.86,7,NA,NA,0,NA,NA,0
SRP14,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SRP19,53,0.77,7,5,0.6,1,NA,NA,0,NA,NA,0
SRP68,236,0.82,22,132,0.77,10,7,0.86,2,75,0.92,7
SRP72,56,0.8,8,9,1,1,7,1.43,2,33,1.18,3
SRP9,71,0.97,4,12,0.25,2,18,1.06,2,42,0.83,3
SRPK1,166,0.72,17,106,0.8,11,NA,NA,0,NA,NA,0
SRPK2,96,0.76,10,37,0.7,4,NA,NA,0,33,0.79,3
SRPR,136,0.75,13,114,0.82,13,NA,NA,0,13,0.77,1
SRPRB,6,0.83,1,5,0.2,1,NA,NA,0,NA,NA,0
SRRD,131,0.89,10,16,0.56,2,NA,NA,0,NA,NA,0
SRRM1,139,0.84,11,103,0.83,9,8,0.88,1,62,1,5
SRRM2,6614,0.87,89,9487,0.87,109,303,0.92,22,3050,0.97,97
SRRT,371,0.82,23,222,0.73,19,11,1,1,110,0.88,11
SRSF1,607,0.82,35,170,0.67,18,50,0.82,6,86,0.88,8
SRSF10,1403,0.84,78,104,0.82,9,78,1.01,8,258,0.95,18
SRSF11,450,0.82,29,134,0.83,10,27,0.93,4,169,1.04,14
SRSF12,5,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
SRSF2,113,0.66,13,47,0.6,7,NA,NA,0,NA,NA,0
SRSF3,NA,NA,0,NA,NA,0,NA,NA,0,14,0.93,2
SRSF4,88,0.65,9,67,0.69,7,NA,NA,0,19,0.95,3
SRSF5,6,0.17,1,12,0.58,2,NA,NA,0,7,0.86,1
SRSF6,734,0.89,29,51,0.73,8,21,1.33,4,45,1.09,5
SRSF7,18,0.78,3,22,0.77,3,6,0.67,2,8,0.88,1
SRSF9,33,0.7,4,80,0.66,5,NA,NA,0,10,0.8,2
SRXN1,52,0.85,5,9,0.56,1,NA,NA,0,NA,NA,0
SS18,29,0.72,5,12,0.83,2,NA,NA,0,11,1.09,2
SS18L1,233,0.82,20,42,0.62,6,NA,NA,0,11,0.82,1
SSB,53,0.85,3,13,0.54,2,13,0.92,2,33,1.12,2
SSBP1,27,0.7,4,5,1,1,NA,NA,0,7,0.86,1
SSBP2,10,0.7,2,5,1,1,NA,NA,0,NA,NA,0
SSBP4,5,0.6,1,5,0.4,1,NA,NA,0,NA,NA,0
SSFA2,365,0.82,34,224,0.87,20,31,1,5,83,0.96,10
SSH1,253,0.78,25,140,0.81,13,NA,NA,0,8,1,1
SSH2,773,0.78,67,413,0.79,34,7,0.86,1,64,0.92,8
SSNA1,NA,NA,0,17,0.65,2,NA,NA,0,NA,NA,0
SSR1,63,0.6,8,21,0.48,3,8,0.88,2,NA,NA,0
SSR2,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
SSR3,632,0.88,29,87,0.84,6,51,0.98,8,72,0.97,6
SSR4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SSRP1,698,0.85,31,239,0.79,19,39,1.13,4,204,0.95,14
SSSCA1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SSU72,173,0.77,12,78,0.76,9,NA,NA,0,39,0.92,5
SSX2IP,332,0.83,29,63,0.83,8,48,1,6,93,1.01,7
ST13,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ST20,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
ST3GAL1,NA,NA,0,81,1,1,5,1,1,67,1,1
ST3GAL2,13,0.92,2,44,1,6,NA,NA,0,NA,NA,0
ST3GAL3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ST3GAL5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ST3GAL6,NA,NA,0,7,1.86,1,NA,NA,0,5,0.8,1
ST5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ST6GAL1,NA,NA,0,13,0.85,2,NA,NA,0,NA,NA,0
ST6GAL2,NA,NA,0,NA,NA,0,47,0.15,1,NA,NA,0
ST6GALNAC3,NA,NA,0,132,0.5,2,119,0.11,1,NA,NA,0
ST7,NA,NA,0,17,1,3,NA,NA,0,NA,NA,0
ST7L,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ST8SIA1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STAB2,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
STAG1,95,0.95,12,107,0.83,13,NA,NA,0,NA,NA,0
STAG2,4340,0.89,72,1036,0.87,45,343,0.93,25,1082,0.99,43
STAM,32,0.84,4,6,1,1,NA,NA,0,NA,NA,0
STAM2,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
STAMBP,NA,NA,0,NA,NA,0,NA,NA,0,9,1,1
STARD10,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STARD13,5,0.6,1,15,0.93,3,NA,NA,0,NA,NA,0
STARD3,NA,NA,0,27,0.81,4,NA,NA,0,5,0.4,1
STARD3NL,26,0.46,3,13,0.54,1,7,0.57,1,27,1.07,4
STARD4,54,0.65,8,5,1,1,NA,NA,0,NA,NA,0
STARD7,700,0.82,34,230,0.76,20,36,0.89,6,150,0.97,10
STARD9,5,1,1,15,0.93,2,NA,NA,0,NA,NA,0
STAT1,NA,NA,0,5,1,1,NA,NA,0,6,0.83,1
STAT2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STAT3,11,0.73,2,31,0.71,3,NA,NA,0,NA,NA,0
STAT5B,126,0.75,8,136,0.76,17,5,1,1,29,0.97,5
STAU1,427,0.78,30,108,1,7,NA,NA,0,148,0.97,8
STAU2,5,1,1,NA,NA,0,NA,NA,0,NA,NA,0
STBD1,8,0.88,1,NA,NA,0,NA,NA,0,NA,NA,0
STC1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STC2,184,0.76,21,47,0.87,7,NA,NA,0,NA,NA,0
STEAP2,58,0.72,8,11,1,2,NA,NA,0,NA,NA,0
STEAP3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
STIL,236,0.77,27,56,0.77,7,11,0.55,2,38,1,5
STIM1,25,0.76,2,45,0.69,7,NA,NA,0,NA,NA,0
STIM2,14,0.71,2,16,0.94,2,NA,NA,0,NA,NA,0
STIP1,293,0.83,18,266,0.88,11,NA,NA,0,305,1.1,8
STK10,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
STK11,174,0.76,14,263,0.76,22,NA,NA,0,117,1.07,8
STK11IP,NA,NA,0,12,0.33,2,NA,NA,0,NA,NA,0
STK16,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STK17A,27,0.67,3,NA,NA,0,NA,NA,0,16,1.06,2
STK17B,134,0.85,11,5,1,1,11,1.09,2,93,1.04,13
STK19,10,0.9,1,NA,NA,0,NA,NA,0,NA,NA,0
STK24,236,0.79,16,92,0.85,10,5,1,1,90,0.98,8
STK25,12,1.08,2,10,0.9,2,NA,NA,0,NA,NA,0
STK3,13,0.62,2,26,1,4,5,1,2,NA,NA,0
STK32A,NA,NA,0,5,1.2,1,NA,NA,0,NA,NA,0
STK33,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
STK35,149,0.73,17,73,0.74,10,NA,NA,0,17,1.12,3
STK36,NA,NA,0,14,0.93,2,NA,NA,0,NA,NA,0
STK38,94,0.82,10,17,1.06,1,NA,NA,0,12,0.83,2
STK38L,516,0.8,39,14,1.21,2,24,0.92,6,117,0.97,11
STK39,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
STK4,582,0.76,42,43,0.95,6,5,1,1,71,1.04,7
STK40,42,0.81,6,61,0.8,6,NA,NA,0,6,1,1
STMN1,58,0.67,6,48,1.02,5,NA,NA,0,6,0.67,1
STMN3,NA,NA,0,6,0.33,1,NA,NA,0,NA,NA,0
STOML1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STOML2,12,0.58,2,27,0.7,4,NA,NA,0,5,0.6,1
STON1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
STON1-GTF2A1L,60,0.73,9,14,0.57,2,NA,NA,0,NA,NA,0
STON2,842,0.79,64,200,0.71,21,11,0.91,2,37,0.95,6
STOX1,23,0.74,3,NA,NA,0,NA,NA,0,NA,NA,0
STOX2,13,0.92,2,45,0.67,6,NA,NA,0,9,0.44,1
STRA13,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STRADA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STRADB,5,0.6,1,5,0.4,1,NA,NA,0,NA,NA,0
STRAP,218,0.74,18,37,0.84,6,NA,NA,0,42,0.83,6
STRBP,31,0.39,5,84,0.9,12,NA,NA,0,NA,NA,0
STRN,449,0.82,37,94,0.83,11,NA,NA,0,55,1.18,7
STRN3,24,0.71,3,11,0.55,2,NA,NA,0,5,1.2,1
STRN4,154,0.75,14,368,0.79,22,NA,NA,0,94,1.06,8
STT3A,73,0.7,8,23,0.83,4,7,1.14,1,31,0.81,4
STT3B,109,0.72,12,27,0.63,4,6,1.17,1,45,1.09,5
STUB1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STX10,NA,NA,0,8,1,1,NA,NA,0,NA,NA,0
STX16,1102,0.91,35,528,0.83,30,42,1.1,6,290,1.01,19
STX17,31,0.71,4,13,0.77,2,NA,NA,0,NA,NA,0
STX18,NA,NA,0,NA,NA,0,5,0.2,1,NA,NA,0
STX2,10,0.3,2,NA,NA,0,NA,NA,0,NA,NA,0
STX3,44,0.95,4,5,1,1,NA,NA,0,NA,NA,0
STX4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
STX5,NA,NA,0,14,0.79,2,NA,NA,0,NA,NA,0
STX6,64,0.77,9,5,0.8,1,22,1,1,NA,NA,0
STX7,NA,NA,0,10,0.6,2,NA,NA,0,NA,NA,0
STXBP1,NA,NA,0,6,1,1,NA,NA,0,5,1.2,1
STXBP2,NA,NA,0,7,0.29,1,NA,NA,0,NA,NA,0
STXBP3,41,0.85,5,8,0.88,1,5,1,2,38,0.87,5
STXBP4,17,0.59,3,NA,NA,0,NA,NA,0,NA,NA,0
STXBP5,75,0.64,9,43,1.02,5,NA,NA,0,NA,NA,0
STYX,5,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
STYXL1,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
SUB1,138,0.78,14,14,1,2,10,1,1,42,0.98,5
SUCLA2,26,0.73,3,7,0.71,1,NA,NA,0,26,1.08,3
SUCLG1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SUCLG2,7,0.57,1,11,0.82,1,NA,NA,0,NA,NA,0
SUDS3,61,0.89,6,195,1.56,4,NA,NA,0,NA,NA,0
SUFU,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SUGP1,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
SUGP2,276,0.79,21,345,0.79,23,NA,NA,0,45,0.93,5
SUGT1,19,0.68,3,NA,NA,0,NA,NA,0,31,1.13,4
SULF2,12,0.75,2,NA,NA,0,NA,NA,0,5,1.2,1
SULT1A1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SULT2B1,NA,NA,0,NA,NA,0,5,1,2,NA,NA,0
SULT4A1,NA,NA,0,5,1.4,1,NA,NA,0,NA,NA,0
SUMF1,NA,NA,0,44,1,1,NA,NA,0,5,0.2,1
SUMO1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
SUMO2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SUMO3,17,0.94,1,26,0.88,4,NA,NA,0,NA,NA,0
SUN1,274,0.78,27,198,0.89,24,NA,NA,0,107,0.94,12
SUN2,5,1.6,1,47,0.66,7,NA,NA,0,NA,NA,0
SUOX,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
SUPT16H,1180,0.85,52,420,0.81,23,18,0.89,5,235,0.95,21
SUPT3H,NA,NA,0,14,0.93,2,NA,NA,0,NA,NA,0
SUPT4H1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SUPT5H,402,0.71,33,454,0.84,30,NA,NA,0,194,0.91,16
SUPT6H,1067,0.84,55,867,0.81,54,17,0.94,3,260,1.05,17
SUPT7L,41,0.59,6,13,0.85,2,NA,NA,0,8,0.88,1
SUPV3L1,45,0.76,5,37,0.78,2,NA,NA,0,5,0.4,1
SURF1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SURF2,NA,NA,0,7,0.43,1,NA,NA,0,NA,NA,0
SURF4,80,0.66,10,65,0.75,9,NA,NA,0,17,0.94,3
SURF6,104,0.79,9,72,0.74,8,NA,NA,0,51,0.96,4
SUSD1,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
SUSD5,21,0.9,3,5,0.4,1,NA,NA,0,NA,NA,0
SUV39H1,81,0.77,8,160,0.84,15,NA,NA,0,46,0.8,5
SUV39H2,1204,0.89,28,141,0.87,11,66,1.08,8,184,1.02,14
