Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
AHSA2,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
AIDA,19,0.74,2,NA,NA,0,NA,NA,0,7,0.29,1
AIF1L,7,0.71,1,5,1,1,NA,NA,0,NA,NA,0
AIFM1,20,0.7,3,7,0.43,1,NA,NA,0,NA,NA,0
AIFM2,NA,NA,0,17,0.94,3,NA,NA,0,6,1.17,1
AIG1,22,0.68,3,31,0.87,5,NA,NA,0,NA,NA,0
AIM1,NA,NA,0,9,0.78,1,NA,NA,0,NA,NA,0
AIMP1,6,0.67,1,10,0.6,2,NA,NA,0,NA,NA,0
AIMP2,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
AIP,NA,NA,0,16,0.69,3,NA,NA,0,15,1.07,2
AK2,21,0.76,3,16,0.94,2,NA,NA,0,NA,NA,0
AK3,63,0.73,7,19,0.68,3,12,0.92,4,14,1.21,1
AK4,339,0.84,28,33,0.61,5,NA,NA,0,NA,NA,0
AKAP1,127,0.8,11,170,0.86,17,NA,NA,0,34,1.06,3
AKAP10,252,0.83,19,181,0.84,12,5,1,1,56,1.05,7
AKAP11,3144,0.84,139,887,0.79,53,160,0.88,20,928,0.95,67
AKAP12,3169,0.89,92,691,0.85,46,114,1.01,11,590,1.03,25
AKAP13,153,0.73,19,251,0.68,28,NA,NA,0,18,1,3
AKAP2,416,0.81,37,173,0.87,17,NA,NA,0,12,1.08,1
AKAP3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AKAP5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AKAP6,NA,NA,0,12,1.08,2,NA,NA,0,NA,NA,0
AKAP7,NA,NA,0,12,1.5,1,NA,NA,0,NA,NA,0
AKAP8,28,0.71,3,16,0.56,3,NA,NA,0,27,0.93,4
AKAP8L,96,0.9,8,106,0.77,6,NA,NA,0,29,0.86,3
AKAP9,402,0.78,48,169,0.78,13,11,0.82,2,116,1,13
AKIP1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AKIRIN1,173,0.8,17,40,0.8,5,NA,NA,0,30,0.9,2
AKIRIN2,343,0.79,27,65,0.88,9,35,0.86,7,26,0.96,2
AKNA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AKNAD1,31,0.52,4,13,0.77,2,NA,NA,0,NA,NA,0
AKR1A1,8,0.63,1,5,1.2,1,NA,NA,0,NA,NA,0
AKR1B1,NA,NA,0,18,0.94,3,NA,NA,0,NA,NA,0
AKR1D1,5,1.4,1,NA,NA,0,NA,NA,0,6,2,1
AKR7A2,NA,NA,0,NA,NA,0,NA,NA,0,6,1,1
AKR7A3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AKT1,47,0.64,5,74,0.8,5,NA,NA,0,NA,NA,0
AKT1S1,NA,NA,0,23,0.65,3,NA,NA,0,NA,NA,0
AKT2,154,0.68,18,495,0.75,49,NA,NA,0,17,1.12,2
AKT3,3515,0.89,85,1035,0.86,41,130,0.98,17,393,1.09,30
AL021546.1,77,0.78,10,7,0.57,1,NA,NA,0,13,0.85,2
AL033532.1,282,0.8,29,97,0.8,14,NA,NA,0,NA,NA,0
AL050321.1,6,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
AL096870.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AL109749.1,22,0.64,4,5,1,1,NA,NA,0,8,0.88,1
AL121758.1,15,0.8,2,NA,NA,0,NA,NA,0,NA,NA,0
AL136219.1,179,0.84,13,12,0.75,2,19,0.84,4,26,0.88,4
AL139022.1,69,0.97,2,5,1,1,NA,NA,0,NA,NA,0
AL139289.1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AL162407.1,134,0.74,12,11,1,2,NA,NA,0,36,1.03,3
AL357673.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AL359853.3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AL359878.1,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
AL360181.1,11,0.82,2,41,0.78,6,NA,NA,0,NA,NA,0
ALAD,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
ALAS1,6,0.67,1,35,0.83,4,5,1.2,1,14,1.21,2
ALAS2,NA,NA,0,11,2,1,NA,NA,0,NA,NA,0
ALCAM,5,0.4,1,NA,NA,0,NA,NA,0,5,1,1
ALDH16A1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ALDH18A1,111,0.79,9,108,0.65,12,NA,NA,0,21,1,3
