Gene symbol,mean(ASD) - mean(CTRL),p-value,q-value,Neurogenesis,SFARI
C6orf148,-0.405296101,0.002112372,0.024095231,FALSE,FALSE
C6orf162,-0.321424357,0.006869382,0.043127348,FALSE,FALSE
C6orf170,0.504729791,0.000123884,0.006051301,FALSE,FALSE
C6orf25,0.368948827,0.000259542,0.00868519,FALSE,FALSE
C6orf47,0.389889326,0.003102662,0.028820916,FALSE,FALSE
C6orf49,-0.395569634,0.002673287,0.026569097,FALSE,FALSE
C6orf72,-0.353777925,0.007291572,0.044574524,FALSE,FALSE
C7orf24,-0.442867322,0.00075393,0.014297951,FALSE,FALSE
C7orf44,-0.517282761,8.18E-05,0.005310573,FALSE,FALSE
C8orf37,0.454853141,0.000541163,0.012060489,FALSE,FALSE
C8orf42,0.627540943,1.61E-06,0.000881623,FALSE,FALSE
C8orf45,0.440056484,0.000820515,0.014914497,FALSE,FALSE
C8orf47,-0.427570484,0.001177026,0.017602928,FALSE,FALSE
C8orf53,0.381694156,0.003770429,0.03161541,FALSE,FALSE
C9orf111,0.452362394,0.000589536,0.012608999,FALSE,FALSE
C9orf123,0.456028264,0.000540441,0.012060489,FALSE,FALSE
C9orf132,0.602490699,4.34E-06,0.001421933,FALSE,FALSE
C9orf138,0.360842215,0.006421067,0.041562528,FALSE,FALSE
C9orf45,0.435232045,0.00095946,0.016177107,FALSE,FALSE
C9orf46,-0.480097986,0.000257064,0.008644496,FALSE,FALSE
C9orf5,-0.457243151,0.000505747,0.01164137,FALSE,FALSE
C9orf74,-0.464772433,0.0004151,0.010910124,FALSE,FALSE
C9orf80,0.408004317,0.001938642,0.023220972,FALSE,FALSE
C9orf88,-0.458386101,0.00050195,0.01164137,FALSE,FALSE
CABP4,0.406212402,0.002115267,0.024095231,FALSE,FALSE
CACNB1,0.331853635,0.002381951,0.025755555,FALSE,FALSE
CACNB4,0.322573048,0.00342779,0.030334945,FALSE,FALSE
CALCOCO1,0.481202891,0.000254329,0.008642885,FALSE,FALSE
CALCOCO2,-0.509363053,0.000107584,0.005750206,FALSE,FALSE
CALM3,-0.448456348,0.000652902,0.013354039,FALSE,FALSE
CALML4,0.316176379,0.001198867,0.017775972,FALSE,FALSE
CALU,-0.412500696,0.00176651,0.021966053,FALSE,FALSE
CAMK2B,0.355529632,0.002016054,0.023649805,FALSE,FALSE
CAMK2G,-0.357631413,0.0027268,0.026808762,FALSE,FALSE
CAPN11,0.3603823,0.00649908,0.041775399,FALSE,FALSE
CAPN12,0.412166325,0.001774632,0.022042002,FALSE,FALSE
CAPZA2,0.366969597,0.005365155,0.038321464,FALSE,FALSE
CAPZB,0.427920691,0.001177545,0.017602928,FALSE,FALSE
CARD11,0.574907517,1.15E-05,0.001907791,FALSE,FALSE
CASC2,0.316517798,0.004511768,0.034894699,FALSE,FALSE
CBFA2T3,0.334186026,0.00406357,0.032892109,FALSE,FALSE
CBLN2,-0.407924652,0.002001688,0.023638499,FALSE,FALSE
CCBE1,0.486223067,0.000214669,0.007882624,FALSE,FALSE
CCDC18,0.382290412,0.003745611,0.03161541,FALSE,FALSE
CCDC45,0.443938646,0.000742085,0.014155619,FALSE,FALSE
CCDC53,-0.364913407,0.005762905,0.039511832,FALSE,FALSE
CCDC55,0.379495774,0.004056269,0.032878465,FALSE,FALSE
CCDC57,0.438660787,0.00087271,0.015435611,FALSE,FALSE
CCDC67,-0.355455441,0.007140332,0.043969299,FALSE,FALSE
CCDC72,-0.409834942,0.001880913,0.022692381,FALSE,FALSE
CCL7,0.372621046,0.004763189,0.035893743,FALSE,FALSE
CCNB1IP1,0.257096445,0.006426636,0.041562528,FALSE,FALSE
CCNB2,-0.432044565,0.001026479,0.016690879,FALSE,FALSE
CCNL1,0.53800554,4.18E-05,0.003605273,FALSE,FALSE
CCPG1,0.36340057,0.001787747,0.022121852,FALSE,FALSE
